"","covidence","study_id","study_label","outcome_num","title","reviewer_name","year_of_publication","study_id_1","title_1","lead_author_contact_details","country","notes","aim_of_study_1","topic_of_decision_important_general_unknown_etc_study_1","measure","dv","sample_type","groups","culture_powerdistance","culture_individualism","culture_mtas","culture_uncertaintyavoidance","culture_longtermorientation","culture_indulgence","total_number_of_participants_study_1","age_variable_study_1","age_notes","number_of_older_adults_categorical_var_study_1","number_of_young_adults_categorical_var_study_1","age_m_young_adults","min_age_young","max_age_young","age_m_older_adults","min_age_older","max_age_older","age_sd_young_adults","age_sd_older_adults","age_m_value","age_sd_value","min_age","max_age","gender_female_value","analysis","young_adults_dv_mean","young_adults_dv_sd","young_adults_dv_min","young_adults_dv_max","older_adults_dv_mean","older_adults_dv_sd","older_adults_dv_min","older_adults_dv_max","dv_age_result","dv_min","dv_max","dv_age_mean","dv_age_sd","prop_female_dv_mean","prop_female_dv_sd","prop_male_dv_mean","prop_male_dv_sd","sample_type_1"
"24",343,"Fatima 2020 Study1","Fatima 2020 Single",1,"Age, executive functioning, and decision-making styles in adults: A moderated mediation model","Consensus",2020,"Fatima et al. 2020","Age, executive functioning, and decision-making styles in
adults: A moderated mediation model","Shameem Fatima 
shameem_pu@hotmail.com"," Pakistan",NA,"Investigate age differences in decision-making and executive function.","General/Unspecified","General Decision Making Style ","Avoidance","Workers","Sample 1",55,5,50,70,19,0,195,"Categorical (young/older groups); Continuous","Includes both young/middle age groups, and continuous age.",NA,NA,37.35,30,44,52.2,45,59,5.15,3.65,43.82,8.67,30,59,26.15,"Both",14.58,4.4,6,24,15.51,5.45,6,24,0.17,NA,NA,NA,NA,NA,NA,NA,NA,"Professional"
"25",343,"Fatima 2020 Study1","Fatima 2020 Single",2,"Age, executive functioning, and decision-making styles in adults: A moderated mediation model","Consensus",2020,"Fatima et al. 2020","Age, executive functioning, and decision-making styles in
adults: A moderated mediation model","Shameem Fatima 
shameem_pu@hotmail.com"," Pakistan",NA,"Investigate age differences in decision-making and executive function.","General/Unspecified","General Decision Making Style ","Dependence","Workers","Sample 1",55,5,50,70,19,0,195,"Categorical (young/older groups); Continuous","Includes both young/middle age groups, and continuous age.",NA,NA,37.35,30,44,52.2,45,59,5.15,3.65,43.82,8.67,30,59,26.15,"Both",16.75,4.16,6,24,17.51,4.38,6,24,0.19,NA,NA,NA,NA,NA,NA,NA,NA,"Professional"
"26",338,"Caldera 2018 Study1","Caldera 2018 Single",1,"Does decision making style predict authentic leadership beyond the effects of personality?","Consensus",2018,"Caldera. 2018 - Dissertation","Does decision making style predict authentic leadership beyond the effects of personality?","Not listed. No longer in academia.","United States","Continuous measure of age. May need to exclude if unable to get data.","Examine the relationship between decision making and leadership style while controlling for personality, age, and gender.","General/Unspecified","General Decision Making Style ","Avoidance","Community","Sample 1",40,60,62,46,50,68,312,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.85,12.796,18,79,67,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.209,1,5,2.1,1.002,NA,NA,NA,NA,"Community"
"27",338,"Caldera 2018 Study1","Caldera 2018 Single",2,"Does decision making style predict authentic leadership beyond the effects of personality?","Consensus",2018,"Caldera. 2018 - Dissertation","Does decision making style predict authentic leadership beyond the effects of personality?","Not listed. No longer in academia.","United States","Continuous measure of age. May need to exclude if unable to get data.","Examine the relationship between decision making and leadership style while controlling for personality, age, and gender.","General/Unspecified","General Decision Making Style ","Dependence","Community","Sample 1",40,60,62,46,50,68,312,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.85,12.796,18,79,67,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.153,1,5,3.32,0.896,NA,NA,NA,NA,"Community"
"28",321,"Erceg 2023 Study2","Erceg 2023 Study2",1,"Incremental validity of decision-making styles in predicting real-life and work-related outcomes","Consensus",2023,"Erceg & Galic. 2023 Studies 2 and 3","Incremental validity of decision-making styles in predicting real-life and work-related outcomes","nerceg@ffzg.hr"," Croatia",NA,"Extend the findings of the relevance of decision-making styles for a broad range of outcomes, and to see whether the styles can contribute to predictiveness of outcomes beyond personality.","General/Unspecified","General Decision Making Style ","Avoidance","Workers","Sample 2",73,42,40,80,40,33,210,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.31,10.63,19,63,49.05,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.16,1,5,2.36,1,NA,NA,NA,NA,"Professional"
"29",321,"Erceg 2023 Study2","Erceg 2023 Study2",2,"Incremental validity of decision-making styles in predicting real-life and work-related outcomes","Consensus",2023,"Erceg & Galic. 2023 Studies 2 and 3","Incremental validity of decision-making styles in predicting real-life and work-related outcomes","nerceg@ffzg.hr"," Croatia",NA,"Extend the findings of the relevance of decision-making styles for a broad range of outcomes, and to see whether the styles can contribute to predictiveness of outcomes beyond personality.","General/Unspecified","General Decision Making Style ","Dependence","Workers","Sample 2",73,42,40,80,40,33,210,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.31,10.63,19,63,49.05,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.17,1.6,5,3.84,0.68,NA,NA,NA,NA,"Professional"
"30",321,"Erceg 2023 Study3","Erceg 2023 Study3",1,"Incremental validity of decision-making styles in predicting real-life and work-related outcomes","Consensus",2023,"Erceg & Galic. 2023 Studies 2 and 3","Incremental validity of decision-making styles in predicting real-life and work-related outcomes","nerceg@ffzg.hr"," Croatia",NA,"Extend the findings of the relevance of decision-making styles for a broad range of outcomes, and to see whether the styles can contribute to predictiveness of outcomes beyond motivational variables.","General/Unspecified","General Decision Making Style","Avoidance","Entrepreneurs","Sample 3",73,42,40,80,40,33,53,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.15,10.66,27,69,35.85,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,0.03,1,4.6,2,0.86,NA,NA,NA,NA,"Professional"
"31",321,"Erceg 2023 Study3","Erceg 2023 Study3",2,"Incremental validity of decision-making styles in predicting real-life and work-related outcomes","Consensus",2023,"Erceg & Galic. 2023 Studies 2 and 3","Incremental validity of decision-making styles in predicting real-life and work-related outcomes","nerceg@ffzg.hr"," Croatia",NA,"Extend the findings of the relevance of decision-making styles for a broad range of outcomes, and to see whether the styles can contribute to predictiveness of outcomes beyond motivational variables.","General/Unspecified","General Decision Making Style","Dependence","Entrepreneurs","Sample 3",73,42,40,80,40,33,53,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.15,10.66,27,69,35.85,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.19,2,5,3.5,0.74,NA,NA,NA,NA,"Professional"
"32",2,"LeonESM 2024 Study1","LeonESM 2024 Single",1,"Experience sampling study",NA,2024,"Leon et al. 2024","Experience sampling study.",NA,"Australia",NA,"Sample included participants from US, UK, AUS, and NZ","General/Unspecified","General Decision Making Style","Avoidance","Community","Sample 1",NA,NA,NA,NA,NA,NA,179,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.01,16.77,21,89,45.25,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,"Community"
"33",2,"LeonESM 2024 Study1","LeonESM 2024 Single",2,"Experience sampling study",NA,2024,"Leon et al. 2024","Experience sampling study.",NA,"Australia",NA,"Sample included participants from US, UK, AUS, and NZ","General/Unspecified","General Decision Making Style","Dependence","Community","Sample 1",NA,NA,NA,NA,NA,NA,179,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.01,16.77,21,89,45.25,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,"Community"
"34",1,"Leon 2024 Study1","Leon 2024 Single",1,"Age, anger, and gratitude: Findings of an online emotion induction to assess advice-taking in older age",NA,2024,"Leon et al. 2024","Age, anger, and gratitude: Findings of an online emotion induction to assess advice-taking in older age",NA,"Australia",NA,NA,"General/Unspecified","General Decision Making Style","Avoidance","Community","Sample 1",38,73,61,51,56,71,132,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.65,18.58,19,89,50.76,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,"Community"
"35",1,"Leon 2024 Study1","Leon 2024 Single",2,"Age, anger, and gratitude: Findings of an online emotion induction to assess advice-taking in older age",NA,2024,"Leon et al. 2024","Age, anger, and gratitude: Findings of an online emotion induction to assess advice-taking in older age",NA,"Australia",NA,NA,"General/Unspecified","General Decision Making Style","Dependence","Community","Sample 1",38,73,61,51,56,71,132,"Continuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.65,18.58,19,89,50.76,"Correlation",NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,"Community"
