reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.53,-0.003,0.001,0.176,0.2
7,intrcpt,0.112,0.01,11.332,0.089,0.135,0,0.2
7,culture_longtermorientation_gmc,-0.001,0.001,-0.981,-0.005,0.003,0.404,0.2
8,intrcpt,0.114,0.01,11.161,0.09,0.137,0,0.2
8,culture_indulgence_gmc,0,0.001,0.15,-0.002,0.003,0.886,0.2
9,intrcpt,0.141,0.02,6.999,0.095,0.186,0,0.2
9,dvBuckpassing,-0.06,0.035,-1.722,-0.158,0.038,0.163,0.2
9,dvDependence,-0.027,0.02,-1.353,-0.075,0.021,0.224,0.2
10,sample_type_1University students,0.099,0.022,4.578,0.017,0.182,0.034,0.2
10,sample_type_1Community,0.119,0.021,5.732,0.068,0.17,0.001,0.2
10,sample_type_1Professional,0.144,0.021,6.934,0.085,0.204,0.003,0.2
11,intrcpt,-2.133,3.531,-0.604,-14.51,10.244,0.595,0.2
11,year_of_publication,0.001,0.002,0.637,-0.005,0.007,0.576,0.2
1,intrcpt,0.114,0.014,8.425,0.084,0.144,0,0.3
1,age_diff_gmc,0,0.001,0.431,-0.001,0.002,0.678,0.3
2,intrcpt,0.141,0.053,2.661,-0.028,0.31,0.077,0.3
2,prop_female_gen,-0,0.001,-0.543,-0.003,0.002,0.624,0.3
3,intrcpt,0.115,0.01,11.636,0.092,0.137,0,0.3
3,culture_powerdistance_gmc,-0.001,0.001,-1.29,-0.004,0.001,0.243,0.3
4,intrcpt,0.115,0.01,11.477,0.092,0.138,0,0.3
4,culture_individualism_gmc,-0.001,0.001,-1.142,-0.003,0.001,0.353,0.3
5,intrcpt,0.115,0.011,10.933,0.091,0.139,0,0.3
5,culture_mtas_gmc,0.001,0.001,1.234,-0.001,0.004,0.268,0.3
6,intrcpt,0.121,0.012,9.74,0.092,0.15,0,0.3
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.546,-0.003,0.001,0.172,0.3
7,intrcpt,0.112,0.01,11.226,0.088,0.135,0,0.3
7,culture_longtermorientation_gmc,-0.001,0.001,-0.977,-0.005,0.003,0.404,0.3
8,intrcpt,0.113,0.01,11.1,0.09,0.137,0,0.3
8,culture_indulgence_gmc,0,0.001,0.161,-0.002,0.003,0.878,0.3
9,intrcpt,0.139,0.02,6.986,0.093,0.184,0,0.3
9,dvBuckpassing,-0.057,0.035,-1.646,-0.155,0.042,0.18,0.3
9,dvDependence,-0.025,0.02,-1.275,-0.071,0.021,0.243,0.3
10,sample_type_1University students,0.101,0.021,4.69,0.015,0.186,0.036,0.3
10,sample_type_1Community,0.118,0.02,5.821,0.068,0.168,0.001,0.3
10,sample_type_1Professional,0.144,0.021,6.833,0.083,0.205,0.003,0.3
11,intrcpt,-1.963,3.393,-0.579,-14.035,10.108,0.61,0.3
11,year_of_publication,0.001,0.002,0.613,-0.005,0.007,0.591,0.3
1,intrcpt,0.114,0.013,8.456,0.084,0.143,0,0.4
1,age_diff_gmc,0,0.001,0.425,-0.001,0.002,0.682,0.4
2,intrcpt,0.138,0.053,2.597,-0.037,0.314,0.085,0.4
2,prop_female_gen,-0,0.001,-0.497,-0.003,0.002,0.654,0.4
3,intrcpt,0.114,0.01,11.554,0.092,0.137,0,0.4
3,culture_powerdistance_gmc,-0.001,0.001,-1.313,-0.004,0.001,0.237,0.4
4,intrcpt,0.114,0.01,11.273,0.091,0.137,0,0.4
4,culture_individualism_gmc,-0.001,0.001,-1.069,-0.003,0.002,0.377,0.4
5,intrcpt,0.115,0.011,10.863,0.09,0.139,0,0.4
5,culture_mtas_gmc,0.001,0.001,1.229,-0.001,0.004,0.269,0.4
6,intrcpt,0.121,0.012,9.715,0.092,0.149,0,0.4
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.563,-0.003,0.001,0.167,0.4
7,intrcpt,0.111,0.01,11.087,0.088,0.134,0,0.4
7,culture_longtermorientation_gmc,-0.001,0.001,-0.972,-0.005,0.003,0.405,0.4
8,intrcpt,0.113,0.01,11,0.089,0.137,0,0.4
8,culture_indulgence_gmc,0,0.001,0.171,-0.002,0.003,0.87,0.4
9,intrcpt,0.137,0.02,7.012,0.092,0.182,0,0.4
9,dvBuckpassing,-0.054,0.034,-1.571,-0.153,0.045,0.197,0.4
9,dvDependence,-0.023,0.019,-1.196,-0.068,0.021,0.265,0.4
10,sample_type_1University students,0.102,0.021,4.819,0.012,0.192,0.039,0.4
10,sample_type_1Community,0.117,0.02,5.913,0.068,0.166,0.001,0.4
10,sample_type_1Professional,0.144,0.021,6.733,0.082,0.206,0.004,0.4
11,intrcpt,-1.898,3.319,-0.572,-13.777,9.981,0.615,0.4
11,year_of_publication,0.001,0.002,0.607,-0.005,0.007,0.595,0.4
1,intrcpt,0.113,0.013,8.406,0.083,0.143,0,0.5
1,age_diff_gmc,0,0.001,0.469,-0.001,0.002,0.652,0.5
2,intrcpt,0.138,0.054,2.585,-0.038,0.315,0.087,0.5
2,prop_female_gen,-0,0.001,-0.501,-0.003,0.002,0.652,0.5
3,intrcpt,0.114,0.01,11.44,0.091,0.137,0,0.5
3,culture_powerdistance_gmc,-0.001,0.001,-1.334,-0.004,0.001,0.232,0.5
4,intrcpt,0.114,0.01,11.056,0.09,0.137,0,0.5
4,culture_individualism_gmc,-0.001,0.001,-1.006,-0.003,0.002,0.401,0.5
5,intrcpt,0.114,0.011,10.769,0.09,0.138,0,0.5
5,culture_mtas_gmc,0.001,0.001,1.225,-0.001,0.004,0.27,0.5
6,intrcpt,0.12,0.012,9.679,0.091,0.149,0,0.5
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.581,-0.003,0.001,0.162,0.5
7,intrcpt,0.111,0.01,10.915,0.088,0.134,0,0.5
7,culture_longtermorientation_gmc,-0.001,0.001,-0.966,-0.005,0.003,0.407,0.5
8,intrcpt,0.113,0.01,10.863,0.089,0.136,0,0.5
8,culture_indulgence_gmc,0,0.001,0.182,-0.002,0.003,0.863,0.5
9,intrcpt,0.135,0.019,7.049,0.091,0.18,0,0.5
9,dvBuckpassing,-0.052,0.034,-1.525,-0.151,0.047,0.209,0.5
9,dvDependence,-0.022,0.019,-1.122,-0.065,0.022,0.29,0.5
10,sample_type_1University students,0.103,0.021,4.974,0.009,0.198,0.043,0.5
10,sample_type_1Community,0.116,0.019,5.997,0.068,0.164,0.001,0.5
10,sample_type_1Professional,0.144,0.022,6.636,0.081,0.207,0.004,0.5
11,intrcpt,-1.981,3.371,-0.588,-13.908,9.945,0.605,0.5
11,year_of_publication,0.001,0.002,0.622,-0.005,0.007,0.585,0.5
1,intrcpt,0.113,0.014,8.347,0.083,0.142,0,0.6
1,age_diff_gmc,0,0.001,0.512,-0.001,0.002,0.623,0.6
2,intrcpt,0.139,0.054,2.592,-0.037,0.315,0.085,0.6
2,prop_female_gen,-0,0.001,-0.526,-0.003,0.002,0.636,0.6
3,intrcpt,0.114,0.01,11.285,0.091,0.137,0,0.6
3,culture_powerdistance_gmc,-0.001,0.001,-1.353,-0.004,0.001,0.227,0.6
4,intrcpt,0.113,0.01,10.823,0.09,0.137,0,0.6
4,culture_individualism_gmc,-0.001,0.001,-0.951,-0.003,0.002,0.422,0.6
5,intrcpt,0.114,0.011,10.648,0.09,0.138,0,0.6
5,culture_mtas_gmc,0.001,0.001,1.223,-0.001,0.004,0.27,0.6
6,intrcpt,0.12,0.012,9.633,0.091,0.149,0,0.6
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.603,-0.003,0.001,0.156,0.6
7,intrcpt,0.111,0.01,10.704,0.087,0.134,0,0.6
7,culture_longtermorientation_gmc,-0.001,0.001,-0.958,-0.005,0.003,0.409,0.6
8,intrcpt,0.112,0.011,10.681,0.088,0.136,0,0.6
8,culture_indulgence_gmc,0,0.001,0.191,-0.002,0.003,0.856,0.6
9,intrcpt,0.135,0.02,6.933,0.09,0.18,0,0.6
9,dvBuckpassing,-0.054,0.034,-1.567,-0.151,0.044,0.196,0.6
9,dvDependence,-0.02,0.019,-1.05,-0.063,0.023,0.318,0.6
10,sample_type_1University students,0.102,0.021,4.813,0.009,0.196,0.043,0.6
10,sample_type_1Community,0.116,0.02,5.96,0.068,0.165,0.001,0.6
10,sample_type_1Professional,0.143,0.022,6.445,0.079,0.207,0.004,0.6
11,intrcpt,-2.08,3.437,-0.605,-14.086,9.926,0.594,0.6
11,year_of_publication,0.001,0.002,0.639,-0.005,0.007,0.575,0.6
1,intrcpt,0.113,0.014,8.28,0.083,0.142,0,0.7
1,age_diff_gmc,0,0.001,0.553,-0.001,0.002,0.596,0.7
2,intrcpt,0.141,0.054,2.602,-0.034,0.316,0.083,0.7
2,prop_female_gen,-0,0.001,-0.555,-0.003,0.002,0.617,0.7
3,intrcpt,0.114,0.01,11.072,0.09,0.137,0,0.7
3,culture_powerdistance_gmc,-0.001,0.001,-1.369,-0.004,0.001,0.224,0.7
4,intrcpt,0.113,0.011,10.561,0.089,0.137,0,0.7
4,culture_individualism_gmc,-0.001,0.001,-0.904,-0.003,0.002,0.441,0.7
5,intrcpt,0.113,0.011,10.489,0.089,0.138,0,0.7
5,culture_mtas_gmc,0.001,0.001,1.223,-0.001,0.004,0.269,0.7
6,intrcpt,0.12,0.012,9.577,0.091,0.148,0,0.7
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.629,-0.003,0.001,0.149,0.7
7,intrcpt,0.111,0.011,10.441,0.087,0.135,0,0.7
7,culture_longtermorientation_gmc,-0.001,0.001,-0.95,-0.005,0.003,0.412,0.7
8,intrcpt,0.112,0.011,10.438,0.088,0.137,0,0.7
8,culture_indulgence_gmc,0,0.001,0.2,-0.002,0.003,0.849,0.7
9,intrcpt,0.135,0.02,6.797,0.09,0.18,0,0.7
9,dvBuckpassing,-0.056,0.034,-1.626,-0.151,0.04,0.179,0.7
9,dvDependence,-0.018,0.019,-0.956,-0.061,0.024,0.36,0.7
10,sample_type_1University students,0.101,0.022,4.642,0.009,0.193,0.042,0.7
10,sample_type_1Community,0.117,0.02,5.878,0.068,0.166,0.001,0.7
10,sample_type_1Professional,0.143,0.023,6.27,0.077,0.208,0.004,0.7
11,intrcpt,-2.199,3.519,-0.625,-14.322,9.923,0.582,0.7
11,year_of_publication,0.001,0.002,0.657,-0.005,0.007,0.563,0.7
1,intrcpt,0.113,0.014,8.209,0.083,0.143,0,0.8
1,age_diff_gmc,0,0.001,0.59,-0.001,0.002,0.572,0.8
2,intrcpt,0.143,0.054,2.621,-0.031,0.316,0.079,0.8
2,prop_female_gen,-0.001,0.001,-0.592,-0.003,0.002,0.594,0.8
3,intrcpt,0.114,0.011,10.774,0.09,0.137,0,0.8
3,culture_powerdistance_gmc,-0.001,0.001,-1.38,-0.004,0.001,0.222,0.8
4,intrcpt,0.113,0.011,10.256,0.088,0.137,0,0.8
4,culture_individualism_gmc,-0.001,0.001,-0.868,-0.003,0.002,0.456,0.8
5,intrcpt,0.113,0.011,10.278,0.088,0.138,0,0.8
5,culture_mtas_gmc,0.001,0.001,1.226,-0.001,0.004,0.268,0.8
6,intrcpt,0.119,0.013,9.512,0.091,0.148,0,0.8
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.664,-0.003,0,0.141,0.8
7,intrcpt,0.11,0.011,10.108,0.086,0.135,0,0.8
7,culture_longtermorientation_gmc,-0.001,0.001,-0.944,-0.005,0.003,0.414,0.8
8,intrcpt,0.112,0.011,10.109,0.087,0.137,0,0.8
8,culture_indulgence_gmc,0,0.001,0.206,-0.002,0.003,0.844,0.8
9,intrcpt,0.134,0.02,6.624,0.089,0.18,0,0.8
9,dvBuckpassing,-0.058,0.034,-1.703,-0.151,0.034,0.159,0.8
9,dvDependence,-0.016,0.02,-0.807,-0.059,0.027,0.436,0.8
10,sample_type_1University students,0.1,0.022,4.473,0.011,0.189,0.04,0.8
10,sample_type_1Community,0.117,0.02,5.758,0.067,0.167,0.001,0.8
10,sample_type_1Professional,0.142,0.023,6.117,0.076,0.208,0.004,0.8
11,intrcpt,-2.346,3.621,-0.648,-14.627,9.936,0.568,0.8
11,year_of_publication,0.001,0.002,0.679,-0.005,0.007,0.55,0.8
1,intrcpt,0.113,0.014,8.14,0.083,0.143,0,0.9
1,age_diff_gmc,0,0.001,0.622,-0.001,0.002,0.551,0.9
2,intrcpt,0.145,0.055,2.655,-0.026,0.316,0.074,0.9
2,prop_female_gen,-0.001,0.001,-0.64,-0.003,0.002,0.565,0.9
3,intrcpt,0.114,0.011,10.368,0.089,0.138,0,0.9
3,culture_powerdistance_gmc,-0.001,0.001,-1.376,-0.004,0.001,0.224,0.9
4,intrcpt,0.113,0.011,9.904,0.087,0.138,0,0.9
4,culture_individualism_gmc,-0.001,0.001,-0.848,-0.003,0.002,0.464,0.9
5,intrcpt,0.113,0.011,10.004,0.088,0.138,0,0.9
5,culture_mtas_gmc,0.001,0.001,1.23,-0.001,0.004,0.267,0.9
6,intrcpt,0.119,0.013,9.454,0.09,0.147,0,0.9
6,culture_uncertaintyavoidance_gmc,-0.001,0.001,-1.711,-0.003,0,0.129,0.9
7,intrcpt,0.111,0.011,9.708,0.085,0.136,0,0.9
7,culture_longtermorientation_gmc,-0.001,0.001,-0.95,-0.005,0.003,0.411,0.9
8,intrcpt,0.112,0.012,9.678,0.086,0.138,0,0.9
8,culture_indulgence_gmc,0,0.001,0.204,-0.002,0.003,0.846,0.9
9,intrcpt,0.133,0.021,6.369,0.087,0.18,0,0.9
9,dvBuckpassing,-0.061,0.034,-1.785,-0.149,0.028,0.138,0.9
9,dvDependence,-0.012,0.021,-0.544,-0.058,0.035,0.596,0.9
10,sample_type_1University students,0.098,0.023,4.312,0.013,0.183,0.037,0.9
10,sample_type_1Community,0.118,0.021,5.614,0.067,0.169,0.001,0.9
10,sample_type_1Professional,0.142,0.024,5.99,0.075,0.209,0.004,0.9
11,intrcpt,-2.525,3.744,-0.674,-15.005,9.956,0.552,0.9
11,year_of_publication,0.001,0.002,0.705,-0.005,0.007,0.535,0.9
